maximum_nights,extra_people,guests_included,beds,availability_365,accommodates,bedrooms,host_listings_count,host_for,number_of_reviews_ltm,minimum_nights,bathrooms,secure,cleaning_fee,room_type_private_room,host_acceptance_rate,elevator,white_goods,host_response_rate,security_deposit,government,review_scores_value,area_name_salamanca,area_name_san_blas,price
30,25.0,2,1.0,0,3,1.0,1.0,2926,1,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,75.0
1125,10.0,2,0.0,233,2,1.0,4.0,2340,86,1,1.0,0.0,0.0,0,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,38.0
1125,15.0,2,2.0,240,4,1.0,3.0,2982,0,5,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,0,0,100.0
1125,15.0,1,1.0,200,1,1.0,2.0,2920,0,7,0.0,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,1.0,8.0,0,0,40.0
365,10.0,3,4.0,247,5,2.0,2.0,2917,19,3,2.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,10.0,0,0,130.0
365,20.0,2,4.0,321,6,2.0,1.0,3054,1,5,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,0.0,7.0,0,0,90.0
365,15.0,1,1.0,240,2,1.0,4.0,2915,4,55,2.0,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,1.0,10.0,0,0,35.0
7,10.0,1,1.0,305,2,1.0,1.0,2913,27,2,1.0,0.0,0.0,1,3.0,0.0,1.0,4.0,0.0,0.0,9.0,0,0,25.0
1000,0.0,1,1.0,300,4,1.0,4.0,2910,60,1,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,70.0
60,0.0,1,1.0,0,4,1.0,1.0,3101,0,3,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,0.0,10.0,0,0,30.0
330,0.0,1,1.0,205,2,1.0,1.0,2904,39,3,1.0,0.0,0.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,48.0
1125,0.0,1,1.0,14,1,1.0,1.0,3243,3,2,1.0,0.0,0.0,1,3.0,1.0,1.0,4.0,0.0,0.0,10.0,0,0,30.0
